Date,kwh
2017-01-01,23.05
2017-01-02,21.86
2017-01-03,23.1
2017-01-04,18.28
2017-01-05,12.3
2017-01-06,13.85
2017-01-07,14.99
2017-01-08,15.77
2017-01-09,16.2
2017-01-10,20.45
2017-01-11,14.89
2017-01-12,13.34
2017-01-13,12.54
2017-01-14,7.21
2017-01-15,7.11
2017-01-16,1.06
2017-01-17,4.77
2017-01-18,9.69
2017-01-19,4.93
2017-01-20,7.2
2017-01-21,11.3
2017-01-22,15.31
2017-01-23,16.88
2017-01-24,11.91
2017-01-25,18.56
2017-01-26,16.16
2017-01-27,20.6
2017-01-28,18.74
2017-01-29,20.02
2017-01-30,17.62
2017-01-31,22.65
2017-02-01,24.95
2017-02-02,21.69
2017-02-03,25.3
2017-02-04,27.76
2017-02-05,30.77
2017-02-06,38.01
2017-02-07,29.52
2017-02-08,30.03
2017-02-09,31.52
2017-02-10,32.73
2017-02-11,29.46
2017-02-12,28.97
2017-02-13,33.94
2017-02-14,31.37
2017-02-15,24.26
2017-02-16,25.82
2017-02-17,28
2017-02-18,27.75
2017-02-19,23.67
2017-02-20,25.63
2017-02-21,27.13
2017-02-22,15.92
2017-02-23,17.72
2017-02-24,20.18
2017-02-25,25.36
2017-02-26,24.76
2017-02-27,24.12
2017-02-28,16.81
2017-03-01,30.6
2017-03-02,28.1
2017-03-03,29.05
2017-03-04,35.17
2017-03-05,36.14
2017-03-06,33.87
2017-03-07,32.61
2017-03-08,28.88
2017-03-09,30.85
2017-03-10,25.57
2017-03-11,24.53
2017-03-12,32.16
2017-03-13,30.36
2017-03-14,35.33
2017-03-15,31.59
2017-03-16,25.96
2017-03-17,25.22
2017-03-18,31.65
2017-03-19,31.09
2017-03-20,27.57
2017-03-21,23.97
2017-03-22,33.11
2017-03-23,31.53
2017-03-24,34.86
2017-03-25,35.06
2017-03-26,36.25
2017-03-27,45.08
2017-03-28,43.03
2017-03-29,34.81
2017-03-30,36.3
2017-03-31,28.72
2017-04-01,38.14
2017-04-02,39.68
2017-04-03,35.13
2017-04-04,30.36
2017-04-05,36.71
2017-04-06,31.08
2017-04-07,40.25
2017-04-08,33.19
2017-04-09,29.82
2017-04-10,35.87
2017-04-11,31.68
2017-04-12,25.07
2017-04-13,35.52
2017-04-14,33.75
2017-04-15,27.67
2017-04-16,24.84
2017-04-17,23.56
2017-04-18,23.88
2017-04-19,26.98
2017-04-20,27.79
2017-04-21,26.14
2017-04-22,29.54
2017-04-23,38.02
2017-04-24,38.6
2017-04-25,38.64
2017-04-26,35.25
2017-04-27,34.7
2017-04-28,40.6
2017-04-29,35.84
2017-04-30,42.13
2017-05-01,47.33
2017-05-02,45.04
2017-05-03,48.34
2017-05-04,51.08
2017-05-05,45.82
2017-05-06,50.39
2017-05-07,52.42
2017-05-08,51.67
2017-05-09,56.32
2017-05-10,52.01
2017-05-11,48.44
2017-05-12,45.85
2017-05-13,37.96
2017-05-14,38.01
2017-05-15,36.44
2017-05-16,38.48
2017-05-17,36.67
2017-05-18,38.31
2017-05-19,40.72
2017-05-20,38.77
2017-05-21,40.55
2017-05-22,35.42
2017-05-23,44.47
2017-05-24,50.52
2017-05-25,49.04
2017-05-26,40.53
2017-05-27,40.11
2017-05-28,32.99
2017-05-29,32.17
2017-05-30,36.71
2017-05-31,47.26
2017-06-01,51.18
2017-06-02,42.83
2017-06-03,43.36
2017-06-04,40.22
2017-06-05,43.52
2017-06-06,47.07
2017-06-07,48.79
2017-06-08,47.39
2017-06-09,47.66
2017-06-10,46.18
2017-06-11,39.46
2017-06-12,40.53
2017-06-13,52.4
2017-06-14,45.85
2017-06-15,44.59
2017-06-16,44.82
2017-06-17,42.58
2017-06-18,40.24
2017-06-19,39.31
2017-06-20,34.68
2017-06-21,40.09
2017-06-22,40.19
2017-06-23,36.98
2017-06-24,40.87
2017-06-25,41.17
2017-06-26,46.48
2017-06-27,46.26
2017-06-28,43.6
2017-06-29,40.01
2017-06-30,33.64
2017-07-01,29.14
2017-07-02,35.54
2017-07-03,32.22
2017-07-04,34.64
2017-07-05,33.93
2017-07-06,36.39
2017-07-07,36.94
2017-07-08,45.26
2017-07-09,46.24
2017-07-10,47.93
2017-07-11,44.28
2017-07-12,43.8
2017-07-13,50.74
2017-07-14,50.15
2017-07-15,40.53
2017-07-16,44.91
2017-07-17,43.08
2017-07-18,52.95
2017-07-19,46.13
2017-07-20,45.19
2017-07-21,42.47
2017-07-22,36.91
2017-07-23,42.88
2017-07-24,43.22
2017-07-25,44.56
2017-07-26,44.27
2017-07-27,44.06
2017-07-28,45.3
2017-07-29,45.25
2017-07-30,54.37
2017-07-31,49.3
2017-08-01,38.97
2017-08-02,37.25
2017-08-03,36.96
2017-08-04,38.94
2017-08-05,42.19
2017-08-06,36.57
2017-08-07,39.09
2017-08-08,35.44
2017-08-09,41.03
2017-08-10,38.33
2017-08-11,37.36
2017-08-12,29.94
2017-08-13,35.07
2017-08-14,49.77
2017-08-15,45.96
2017-08-16,49.17
2017-08-17,46.9
2017-08-18,45.61
2017-08-19,49.5
2017-08-20,44.85
2017-08-21,37.92
2017-08-22,32.19
2017-08-23,39.07
2017-08-24,43.9
2017-08-25,47.18
2017-08-26,37.38
2017-08-27,42.27
2017-08-28,41.3
2017-08-29,46.49
2017-08-30,40.86
2017-08-31,43.22
2017-09-01,40.57
2017-09-02,49.91
2017-09-03,52.67
2017-09-04,45.3
2017-09-05,41.97
2017-09-06,40.66
2017-09-07,47.31
2017-09-08,40.56
2017-09-09,45.88
2017-09-10,39.45
2017-09-11,36.07
2017-09-12,34.5
2017-09-13,41.94
2017-09-14,40.67
2017-09-15,38.39
2017-09-16,38.54
2017-09-17,35.66
2017-09-18,40.52
2017-09-19,42.67
2017-09-20,34.95
2017-09-21,35.34
2017-09-22,30.58
2017-09-23,30.48
2017-09-24,33.69
2017-09-25,38.92
2017-09-26,40.59
2017-09-27,37.48
2017-09-28,45.26
2017-09-29,48.59
2017-09-30,41.97
2017-10-01,42.35
2017-10-02,41.14
2017-10-03,41.57
2017-10-04,36.15
2017-10-05,32.71
2017-10-06,33.96
2017-10-07,29.7
2017-10-08,28.48
2017-10-09,23.01
2017-10-10,19.24
2017-10-11,24.33
2017-10-12,21.73
2017-10-13,28.86
2017-10-14,29.33
2017-10-15,29.63
2017-10-16,33.07
2017-10-17,30.86
2017-10-18,23.71
2017-10-19,23.52
2017-10-20,33.76
2017-10-21,28
2017-10-22,20.71
2017-10-23,21.6
2017-10-24,22.06
2017-10-25,22.3
2017-10-26,28.27
2017-10-27,23.22
2017-10-28,23.14
2017-10-29,28.01
2017-10-30,27.62
2017-10-31,21.92
2017-11-01,19.75
2017-11-02,16.34
2017-11-03,25.58
2017-11-04,22.75
2017-11-05,30.74
2017-11-06,29.59
2017-11-07,31.78
2017-11-08,32.31
2017-11-09,31.29
2017-11-10,28.92
2017-11-11,26.66
2017-11-12,27.38
2017-11-13,37.36
2017-11-14,29.54
2017-11-15,32.81
2017-11-16,33.39
2017-11-17,27.97
2017-11-18,33.82
2017-11-19,43.13
2017-11-20,49.51
2017-11-21,46.14
2017-11-22,46.21
2017-11-23,38.6
2017-11-24,40.67
2017-11-25,33.51
2017-11-26,29.45
2017-11-27,25.37
2017-11-28,24.53
2017-11-29,22.23
2017-11-30,18.88
2017-12-01,11.48
2017-12-02,20.15
2017-12-03,25.36
2017-12-04,28.76
2017-12-05,26.39
2017-12-06,29.31
2017-12-07,33.45
2017-12-08,37.13
2017-12-09,30.23
2017-12-10,24.12
2017-12-11,22.19
2017-12-12,22.12
2017-12-13,28.95
2017-12-14,22.8
2017-12-15,19.57
2017-12-16,17.9
2017-12-17,13.84
2017-12-18,18.33
2017-12-19,19.9
2017-12-20,17.48
2017-12-21,21.95
2017-12-22,29.83
2017-12-23,32.44
2017-12-24,36.3
2017-12-25,30.68
2017-12-26,20.54
2017-12-27,14.19
2017-12-28,6.19
2017-12-29,10.72
2017-12-30,18.2
2017-12-31,14.35
2018-01-01,13.91
2018-01-02,15.47
2018-01-03,10.27
2018-01-04,16.41
2018-01-05,11.99
2018-01-06,17.64
2018-01-07,17.92
2018-01-08,18.95
2018-01-09,24.08
2018-01-10,19.03
2018-01-11,19.32
2018-01-12,22.96
2018-01-13,20.66
2018-01-14,12.13
2018-01-15,7.15
2018-01-16,4.77
2018-01-17,11.64
2018-01-18,17.32
2018-01-19,26.61
2018-01-20,26.69
2018-01-21,28.74
2018-01-22,25.96
2018-01-23,30.01
2018-01-24,28.17
2018-01-25,22.85
2018-01-26,20.84
2018-01-27,20.44
2018-01-28,17.04
2018-01-29,4.71
2018-01-30,17.94
2018-01-31,19.12
2018-02-01,29.52
2018-02-02,31.19
2018-02-03,27.61
2018-02-04,29.41
2018-02-05,22.67
2018-02-06,18.33
2018-02-07,18.34
2018-02-08,18.25
2018-02-09,20.26
2018-02-10,20.21
2018-02-11,24.64
2018-02-12,22.96
2018-02-13,24.69
2018-02-14,22.14
2018-02-15,24.71
2018-02-16,29.46
2018-02-17,30.71
2018-02-18,31.16
2018-02-19,42.6
2018-02-20,37.67
2018-02-21,41.36
2018-02-22,39.29
2018-02-23,32.86
2018-02-24,32.31
2018-02-25,31.59
2018-02-26,27.22
2018-02-27,26.74
2018-02-28,27.35
2018-03-01,43.77
2018-03-02,39.18
2018-03-03,45.69
2018-03-04,34.35
2018-03-05,30.74
2018-03-06,37.55
2018-03-07,32.39
2018-03-08,32.8
2018-03-09,37.45
2018-03-10,37.28
2018-03-11,43.03
2018-03-12,37.74
2018-03-13,31.53
2018-03-14,26.53
2018-03-15,23.98
2018-03-16,23.88
2018-03-17,21.88
2018-03-18,20.25
2018-03-19,31.95
2018-03-20,29.3
2018-03-21,28.24
2018-03-22,34.81
2018-03-23,34.84
2018-03-24,33.36
2018-03-25,27.61
2018-03-26,29.99
2018-03-27,25.34
2018-03-28,32.2
2018-03-29,35.78
2018-03-30,30.67
2018-03-31,33.49
2018-04-01,38.01
2018-04-02,45.29
2018-04-03,38.72
2018-04-04,32.87
2018-04-05,37.47
2018-04-06,34.62
2018-04-07,37.3
2018-04-08,29.06
2018-04-09,24.56
2018-04-10,22.47
2018-04-11,34.01
2018-04-12,31.47
2018-04-13,34.11
2018-04-14,37.11
2018-04-15,33.89
2018-04-16,26.34
2018-04-17,26.95
2018-04-18,29.14
2018-04-19,29.99
2018-04-20,33.52
2018-04-21,33.44
2018-04-22,34.01
2018-04-23,29.64
2018-04-24,30.23
2018-04-25,28.83
2018-04-26,34.93
2018-04-27,38.9
2018-04-28,34.87
2018-04-29,40.65
2018-04-30,39.84
2018-05-01,39.65
2018-05-02,42.62
2018-05-03,42.71
2018-05-04,42.83
2018-05-05,38.09
2018-05-06,35.76
2018-05-07,40.49
2018-05-08,40.37
2018-05-09,40.34
2018-05-10,41.34
2018-05-11,48.75
2018-05-12,43.01
2018-05-13,46.25
2018-05-14,45.91
2018-05-15,40.58
2018-05-16,45.11
2018-05-17,54.31
2018-05-18,52.81
2018-05-19,51.13
2018-05-20,44.05
2018-05-21,40.11
2018-05-22,26.97
2018-05-23,22.12
2018-05-24,33.33
2018-05-25,41.36
2018-05-26,41.35
2018-05-27,35.07
2018-05-28,34.56
2018-05-29,41.85
2018-05-30,43.09
2018-05-31,32.98
2018-06-01,39.89
2018-06-02,41.95
2018-06-03,41.59
2018-06-04,43.35
2018-06-05,47.18
2018-06-06,41.05
2018-06-07,37.49
2018-06-08,38.38
2018-06-09,35.68
2018-06-10,34.15
2018-06-11,33.86
2018-06-12,27.55
2018-06-13,28.26
2018-06-14,25.48
2018-06-15,35.47
2018-06-16,33.05
2018-06-17,32.26
2018-06-18,32.35
2018-06-19,35.48
2018-06-20,35.66
2018-06-21,34.38
2018-06-22,36.99
2018-06-23,47.09
2018-06-24,42.14
2018-06-25,36.47
2018-06-26,39.57
2018-06-27,45.23
2018-06-28,49.39
2018-06-29,56.51
2018-06-30,54.95
2018-07-01,49.87
2018-07-02,51.96
2018-07-03,53.49
2018-07-04,45.76
2018-07-05,49.43
2018-07-06,45.17
2018-07-07,41.21
2018-07-08,39.65
2018-07-09,37.99
2018-07-10,37.61
2018-07-11,37.05
2018-07-12,35.36
2018-07-13,39.36
2018-07-14,37.79
2018-07-15,39.08
2018-07-16,33.18
2018-07-17,36.88
2018-07-18,33.73
2018-07-19,28.26
2018-07-20,26.78
2018-07-21,29.74
2018-07-22,28.64
2018-07-23,26.52
2018-07-24,30.46
2018-07-25,32.32
2018-07-26,37.01
2018-07-27,34.72
2018-07-28,34.65
2018-07-29,44.28
2018-07-30,51.13
2018-07-31,50.72
2018-08-01,48.04
2018-08-02,36.06
2018-08-03,32.28
2018-08-04,38.87
2018-08-05,35.6
2018-08-06,31.67
2018-08-07,42.6
2018-08-08,38.07
2018-08-09,30.45
2018-08-10,22.69
2018-08-11,29.96
